"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-05","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.1","","","","1"
"2022-06","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","4.7","","","","1"
"2022-07","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.2","","","","1"
"2022-08","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","6.0","","","","1"
"2022-09","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","4.8","","","","1"
"2022-10","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","4.7","","","","1"
"2022-11","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","4.7","","","","1"
"2022-12","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","4.5","","","","1"
"2023-01","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.5","","","","1"
"2023-02","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.3","","","","1"
"2023-03","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.4","","","","1"
"2023-04","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.2","","","","1"
"2023-05","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.2","","","","1"
"2023-06","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.2","","","","1"
"2023-07","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.9","","","","1"
"2023-08","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","6.3","","","","1"
"2023-09","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.2","","","","1"
"2023-10","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.3","","","","1"
"2023-11","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.3","","","","1"
"2023-12","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","5.3","","","","1"
"2024-01","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","6.1","","","","1"
"2024-02","Canada","2016A000011124","Unemployment rate","Total, all industries","Both sexes","15 years and over","Percentage","242","units","0","v2710246","1.6.1.1.1","6.0","","","","1"
"2017-01","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","8.6","","","","1"
"2017-02","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","7.9","","","","1"
"2017-03","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","8.4","","","","1"
"2017-04","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","7.8","","","","1"
"2017-05","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","5.4","","","","1"
"2017-06","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","4.6","","","","1"
"2017-07","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","4.7","","","","1"
"2017-08","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","4.5","","","","1"
"2017-09","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","3.9","","","","1"
"2017-10","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","4.3","","","","1"
"2017-11","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","4.7","","","","1"
"2017-12","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","4.9","","","","1"
"2018-01","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","7.0","","","","1"
"2018-02","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","7.1","","","","1"
"2018-03","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","7.1","","","","1"
"2018-04","Canada","2016A000011124","Unemployment rate","Goods-producing sector","Both sexes","15 years and over","Percentage","242","units","0","v2710247","1.6.2.1.1","6.2","","","","1"
