Date,Location,Import Oils,Import Animal Products,Import Processed Food,Import Vegetable Products,Price Oils,Price Animal Products,Price Processed Food,Price Vegetable Products
2017-03-01,Prince Edward Island,0.0,98.0,44.0,0.0,8.356666666666667,5.858351851851852,3.6525000000000003,3.273846153846154
2017-03-01,Quebec,1536.0,13504.0,96450.0,32408.0,7.256666666666667,6.424018518518519,3.647777777777778,2.951794871794872
2017-03-01,Saskatchewan,1963.0,10403.0,32867.0,11806.0,7.963333333333334,6.055685185185185,3.6847222222222222,3.1092307692307695
2017-04-01,Alberta,2386.0,9230.0,78151.0,74249.0,8.566666666666666,6.351444444444444,3.800833333333333,3.0612820512820513
2017-04-01,British Columbia,4912.0,35881.0,145182.0,148854.0,9.15,6.343296296296296,3.873611111111111,3.111025641025641
2017-04-01,Canada,32528.0,268410.0,1230671.0,715557.0,7.273333333333333,5.954148148148148,3.643611111111111,2.993333333333333
2017-04-01,Manitoba,1761.0,4302.0,62133.0,30335.0,8.666666666666666,6.080129629629629,3.6597222222222223,3.005384615384615
2017-04-01,New Brunswick,514.0,14136.0,10539.0,6279.0,9.326666666666666,5.839398148148148,3.779166666666667,3.3351282051282047
2017-04-01,Newfoundland and Labrador,0.0,0.0,74.0,0.0,9.520000000000001,6.032950980392156,3.8722222222222222,3.6141025641025637
2017-04-01,Nova Scotia,0.0,37.0,1605.0,130.0,9.373333333333333,5.761203703703703,3.786388888888889,3.2807692307692307
2017-04-01,Ontario,20251.0,181023.0,822162.0,413316.0,7.386666666666667,5.897814814814814,3.5186111111111114,2.928974358974359
2017-04-01,Prince Edward Island,0.0,183.0,276.0,0.0,9.526666666666666,5.797694444444445,3.6805555555555554,3.3084615384615383
2017-04-01,Quebec,893.0,11828.0,73938.0,30810.0,7.073333333333333,6.206203703703704,3.638888888888889,3.037179487179487
2017-04-01,Saskatchewan,1811.0,9678.0,36611.0,11584.0,8.67,6.047296296296296,3.668888888888889,3.1100000000000003
2017-05-01,Alberta,1964.0,10563.0,83502.0,90615.0,8.393333333333333,6.484814814814815,3.819166666666667,3.298461538461539
2017-05-01,British Columbia,4960.0,40270.0,157619.0,152970.0,8.646666666666667,6.485824074074074,3.8777777777777778,3.328974358974359
2017-05-01,Canada,37073.0,287065.0,1385094.0,788310.0,7.226666666666667,6.23050925925926,3.645,3.1494871794871795
2017-05-01,Manitoba,2413.0,5511.0,72490.0,34388.0,8.493333333333332,6.254398148148148,3.6713888888888886,3.2915384615384617
2017-05-01,New Brunswick,1133.0,23746.0,11619.0,9949.0,8.85,5.86775,3.759722222222222,3.479487179487179
2017-05-01,Newfoundland and Labrador,0.0,0.0,230.0,0.0,9.06,6.129666666666667,3.860555555555555,3.84
2017-05-01,Nova Scotia,0.0,108.0,1936.0,1313.0,9.03,5.830935185185186,3.7719444444444443,3.4623076923076925
2017-05-01,Ontario,23855.0,181717.0,917192.0,453408.0,7.036666666666666,6.302157407407408,3.4905555555555554,3.0292307692307694
2017-05-01,Prince Edward Island,0.0,397.0,168.0,0.0,8.846666666666666,5.794546296296296,3.663888888888889,3.462820512820513
2017-05-01,Quebec,1664.0,11388.0,102358.0,33386.0,7.276666666666666,6.370064814814814,3.6880555555555556,3.195128205128205
2017-05-01,Saskatchewan,1084.0,9892.0,37981.0,12279.0,8.583333333333334,6.141222222222222,3.685,3.3335897435897435
2017-06-01,Alberta,1776.0,9600.0,78408.0,95656.0,8.513333333333334,6.463638888888889,3.8261111111111115,3.3364102564102565
2017-06-01,British Columbia,4698.0,35683.0,149004.0,166970.0,8.906666666666666,6.573185185185185,3.8666666666666663,3.36
2017-06-01,Canada,38090.0,302332.0,1318478.0,787548.0,7.140000000000001,6.13338888888889,3.6333333333333337,3.1856410256410257
2017-06-01,Manitoba,2661.0,5560.0,74122.0,34249.0,8.533333333333333,6.217962962962963,3.6452777777777774,3.3325641025641026
2017-06-01,New Brunswick,1512.0,26258.0,11170.0,8511.0,8.846666666666666,5.922166666666667,3.806944444444445,3.468717948717949
2017-06-01,Newfoundland and Labrador,1.0,0.0,3.0,1.0,8.933333333333334,6.016892156862745,3.9122222222222223,3.809230769230769
2017-06-01,Nova Scotia,0.0,16.0,1358.0,1130.0,9.01,5.83062962962963,3.828333333333333,3.44025641025641
2017-06-01,Ontario,24876.0,196245.0,884377.0,438238.0,7.196666666666666,6.122055555555556,3.515,3.068717948717949
2017-06-01,Prince Edward Island,0.0,348.0,64.0,0.0,8.99,5.8775462962962965,3.757222222222222,3.45948717948718
2017-06-01,Quebec,1219.0,10910.0,81926.0,31259.0,7.52,6.288731481481481,3.625,3.2374358974358977
2017-06-01,Saskatchewan,1348.0,8214.0,38046.0,11535.0,8.513333333333334,6.030305555555556,3.660833333333333,3.371538461538462
2017-07-01,Alberta,2437.0,8580.0,84234.0,78260.0,8.62,6.17312962962963,3.839722222222222,3.23974358974359
2017-07-01,British Columbia,5299.0,47434.0,149988.0,157372.0,9.093333333333334,6.326740740740741,3.893888888888889,3.2833333333333337
2017-07-01,Canada,39521.0,332331.0,1260758.0,695320.0,6.8566666666666665,6.165898148148148,3.6719444444444442,3.091025641025641
2017-07-01,Manitoba,1760.0,4628.0,67635.0,27784.0,8.796666666666667,5.939527777777778,3.664722222222222,3.2276923076923074
2017-07-01,New Brunswick,810.0,38410.0,11712.0,10536.0,8.733333333333334,6.063416666666667,3.8402777777777777,3.443076923076923
2017-07-01,Newfoundland and Labrador,0.0,1.0,115.0,0.0,9.033333333333333,6.148343137254902,3.9252777777777776,3.839230769230769
2017-07-01,Nova Scotia,0.0,10.0,1976.0,0.0,9.1,5.972314814814815,3.845833333333333,3.4323076923076927
2017-07-01,Ontario,26530.0,194612.0,827724.0,385932.0,6.866666666666667,6.3020555555555555,3.544166666666667,2.98948717948718
2017-07-01,Prince Edward Island,0.0,423.0,45.0,0.0,9.200000000000001,6.168185185185185,3.795555555555555,3.4653846153846155
2017-07-01,Quebec,963.0,12158.0,81647.0,26681.0,7.41,6.2919074074074075,3.6894444444444443,3.112820512820513
2017-07-01,Saskatchewan,1722.0,10531.0,35683.0,8755.0,8.74,5.919018518518518,3.6713888888888886,3.2476923076923074
2017-08-01,Alberta,2100.0,7145.0,84276.0,64297.0,8.69,6.136083333333334,3.7944444444444443,3.1882051282051282
2017-08-01,British Columbia,4669.0,62735.0,169763.0,147088.0,9.093333333333332,6.160231481481482,3.8672222222222223,3.2243589743589745
2017-08-01,Canada,41559.0,373504.0,1362871.0,599082.0,7.45,6.055268518518519,3.650555555555555,2.9635897435897434
2017-08-01,Manitoba,5149.0,7837.0,67769.0,25551.0,8.733333333333334,5.94674074074074,3.6430555555555557,3.1676923076923074
2017-08-01,New Brunswick,1280.0,99361.0,12830.0,11635.0,9.196666666666667,6.021222222222223,3.7927777777777774,3.2610256410256406
2017-08-01,Newfoundland and Labrador,0.0,0.0,12.0,0.0,9.12,6.074137254901961,3.856666666666667,3.692820512820513
2017-08-01,Nova Scotia,0.0,18.0,1395.0,40.0,9.27,5.957787037037037,3.8163888888888895,3.266153846153846
2017-08-01,Ontario,25058.0,166434.0,907804.0,316109.0,7.526666666666666,6.207046296296296,3.548611111111111,2.8574358974358973
2017-08-01,Prince Edward Island,0.0,0.0,206.0,0.0,9.353333333333333,6.0980185185185185,3.772777777777778,3.3153846153846156
2017-08-01,Quebec,970.0,12571.0,85501.0,22665.0,7.933333333333334,6.244944444444445,3.6313888888888886,2.92
